fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,sampling_strategy,sampling_mistake_count,sampling_boundary_count,sampling_anchor_count,sampling_fill_count,sampling_positive_count,sampling_negative_count,sampling_score_eval_errors,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,candidate_selection,candidate_selected,candidate_reject_reason,candidate_ensemble_train_acc,candidate_ensemble_val_acc,candidate_ensemble_test_acc,candidate_ensemble_val_drop,candidate_code_sha256,candidate_code_chars,candidate_source_count,candidate_source_stages,eval_errors
fn_p,htru2,8,256,1,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.05078125,1.464056042939506,0.94921875,0.94921875,0.953125,0.923,0.94921875,0.953125,0.923,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,7813,7403,gpt-5.2,1.75,14.0,0.023474500000000002,0.10938200000000001,0.13285650000000002,0,135636,0,0,0,repair_disabled,,0.94921875,0.94921875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.94921875, ""mistakes"": 13, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.94921875, ""mistakes"": 13, ""accepted_as_best"": false}]",0,best_ensemble_val,True,,0.94921875,0.953125,0.923,,27679652875b9ad1dc66730a1f670140cf1ef7f0c0ff01504017f22cd87dcdc4,916,1,initial,0
fn_p,htru2,8,256,1,1,2,2,2,2,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,3,3,3,3,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,4,4,4,4,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,5,5,5,5,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,6,6,6,6,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,7,7,7,7,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,8,8,8,8,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,9,9,9,9,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,1,10,10,10,10,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,1,11,11,11,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,2,12,12,12,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,3,13,13,13,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,4,14,14,14,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,5,15,15,15,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,6,16,16,16,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,7,17,17,17,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,8,18,18,18,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,9,19,19,19,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
fn_p,htru2,8,256,1,2,10,20,20,20,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,protected.gpt-5.2,,0,0,0,gpt-5.2,1.75,14.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0,best_ensemble_val,False,,,,,,,0,0,,
