fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,sampling_strategy,sampling_mistake_count,sampling_boundary_count,sampling_anchor_count,sampling_fill_count,sampling_positive_count,sampling_negative_count,sampling_score_eval_errors,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,candidate_selection,candidate_selected,candidate_reject_reason,candidate_ensemble_train_acc,candidate_ensemble_val_acc,candidate_ensemble_test_acc,candidate_ensemble_val_drop,candidate_code_sha256,candidate_code_chars,candidate_source_count,candidate_source_stages,eval_errors
fn_o,cdc_diabetes,21,256,1,1,1,1,1,1,False,256,0,weighted_random,,,,,128,128,,,0.3203125,0.376168025975138,0.6796875,0.6796875,0.73046875,0.693,,,,gpt-5.4-mini,gpt-5.4-mini,28167,10495,10358,,,,0.0,0.0,0.0,0,62749,0,0,0,repair_disabled,,0.6796875,0.6796875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.6796875, ""mistakes"": 82, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.6796875, ""mistakes"": 82, ""accepted_as_best"": false}]",0,first_acceptable,False,,0.6796875,0.73046875,0.693,,bf4e299754a9a433765f023ab162bf715ec5d4c0548a274354ae24a82cbadbba,288,1,initial,0
fn_o,cdc_diabetes,21,256,1,1,2,2,2,2,True,256,0,weighted_random,,,,,128,128,,,0.30078125,0.4217901919935356,0.69921875,0.69921875,0.65625,0.653,0.69921875,0.65625,0.653,gpt-5.4-mini,gpt-5.4-mini,28167,6870,6598,,,,0.0,0.0,0.0,0,38720,0,0,0,repair_disabled,,0.69921875,0.69921875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.69921875, ""mistakes"": 77, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.69921875, ""mistakes"": 77, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.69921875,0.65625,0.653,,f9f09a9b27587724625aba27d6292a57aef997f374ce62a48fc128fa2b00f628,760,1,initial,0
fn_o,cdc_diabetes,21,256,2,1,1,1,1,1,False,256,0,weighted_random,,,,,128,128,,,0.3046875,0.41253736180124667,0.6953125,0.6953125,0.6953125,0.696,,,,gpt-5.4-mini,gpt-5.4-mini,28167,2931,2703,,,,0.0,0.0,0.0,0,17659,0,0,0,repair_disabled,,0.6953125,0.6953125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.6953125, ""mistakes"": 78, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.6953125, ""mistakes"": 78, ""accepted_as_best"": false}]",0,first_acceptable,False,,0.6953125,0.6953125,0.696,,05e15c0bd51c59f59180b7e429add0f6c47c8ac1a464b66967fece487ad57f90,545,1,initial,0
fn_o,cdc_diabetes,21,256,2,1,2,2,2,2,False,256,0,weighted_random,,,,,128,128,,,0.3203125,0.376168025975138,0.6796875,0.6796875,0.66796875,0.659,,,,gpt-5.4-mini,gpt-5.4-mini,28167,4765,4478,,,,0.0,0.0,0.0,0,27980,0,0,0,repair_disabled,,0.6796875,0.6796875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.6796875, ""mistakes"": 82, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.6796875, ""mistakes"": 82, ""accepted_as_best"": false}]",0,first_acceptable,False,,0.6796875,0.66796875,0.659,,52289dedcbefc9da26fee02273d4b73c517389a79dda9ea2b3a7df38b2f6420b,735,1,initial,0
fn_o,cdc_diabetes,21,256,2,1,3,3,3,3,False,256,0,weighted_random,,,,,128,128,,no_code_found,,,,,,,,,,gpt-5.4-mini,gpt-5.4-mini,0,0,0,,,,0.0,0.0,0.0,0,11843,0,0,,,,,,,0,first_acceptable,False,,,,,,,0,0,,
fn_o,cdc_diabetes,21,256,2,1,4,4,4,4,True,256,0,weighted_random,,,,,128,128,,,0.28125,0.4691348192964651,0.71875,0.71875,0.66015625,0.67,0.71875,0.66015625,0.67,gpt-5.4-mini,gpt-5.4-mini,28167,4443,4105,,,,0.0,0.0,0.0,0,24807,0,0,0,repair_disabled,,0.71875,0.71875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.71875, ""mistakes"": 72, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.71875, ""mistakes"": 72, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.71875,0.66015625,0.67,,d1ac3ad77604fb3f301ac0e3e877cb1af4f89b44e18e0872a3a45f634dd00839,865,1,initial,0
fn_o,cdc_diabetes,21,256,3,1,1,1,1,1,False,256,0,weighted_random,,,,,128,128,,"unexpected indent (<unknown>, line 2)",,,,,,,,,,gpt-5.4-mini,gpt-5.4-mini,28167,14063,13673,,,,0.0,0.0,0.0,0,82558,0,0,,,,,,,0,first_acceptable,False,,,,,,7eac78d7ad4219739cc0466313d123a1fb73ebcac7f560a6a284a930d251060d,1067,1,initial,
fn_o,cdc_diabetes,21,256,3,1,2,2,2,2,True,256,0,weighted_random,,,,,128,128,,,0.30078125,0.4217901919935356,0.69921875,0.69921875,0.6953125,0.708,0.69921875,0.6953125,0.708,gpt-5.4-mini,gpt-5.4-mini,28167,7771,7560,,,,0.0,0.0,0.0,0,44641,0,0,0,repair_disabled,,0.69921875,0.69921875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.69921875, ""mistakes"": 77, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.69921875, ""mistakes"": 77, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.69921875,0.6953125,0.708,,c7ce39e8c9ff67ed51db6c2f9ed5f6dc572d067992e0d8af25dd4012258faa35,505,1,initial,0
fn_o,cdc_diabetes,21,256,4,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.296875,0.4311117553019396,0.703125,0.703125,0.6875,0.7,0.703125,0.6875,0.7,gpt-5.4-mini,gpt-5.4-mini,28167,3008,2815,,,,0.0,0.0,0.0,0,14741,0,0,0,repair_disabled,,0.703125,0.703125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.703125, ""mistakes"": 76, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.703125, ""mistakes"": 76, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.703125,0.6875,0.7,,1c53d4cf7b3978ff25f6664b968e403b3ef9fe8e7df5091f7ba705fe21e8dd0c,456,1,initial,0
fn_o,cdc_diabetes,21,256,5,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.2734375,0.4886257158319211,0.7265625,0.7265625,0.69140625,0.7015,0.7265625,0.69140625,0.7015,gpt-5.4-mini,gpt-5.4-mini,28167,4933,4660,,,,0.0,0.0,0.0,0,27521,0,0,0,repair_disabled,,0.7265625,0.7265625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.7265625, ""mistakes"": 70, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.7265625, ""mistakes"": 70, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.7265625,0.69140625,0.7015,,0b5064eae10d07090e5b0e33399762b171e50d7fe1759440718c886f2f7d56da,746,1,initial,0
