method,model,api_mode,api_version,reasoning_effort,representation,train_size,val_size,test_size,batch_size,boost_rounds,trials,mean_train_acc,mean_val_acc,mean_test_acc,test_std,test_min,test_max,total_api_attempts,total_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_estimated_cost_usd,pricing_known,artifact_dir,notes
baseline,logistic_regression,,,,semantic,256,256,2000,,,5,,,0.7225,0.0,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,best CDC matched baseline
baseline,random_forest,,,,semantic,256,256,2000,,,5,,,0.7203,0.002821347195933192,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
baseline,adaboost,,,,semantic,256,256,2000,,,5,,,0.7180,0.0,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
baseline,extra_trees,,,,semantic,256,256,2000,,,5,,,0.7153,0.0033555923471125086,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
baseline,xgboost,,,,semantic,256,256,2000,,,5,,,0.7037,0.0061367743970265004,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
baseline,gradient_boosting,,,,semantic,256,256,2000,,,5,,,0.7027,0.003443835071544543,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
baseline,mlp,,,,semantic,256,256,2000,,,5,,,0.6964,0.00900777441991081,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
baseline,hist_gradient_boosting,,,,semantic,256,256,2000,,,5,,,0.6835,0.0,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
baseline,decision_tree,,,,semantic,256,256,2000,,,5,,,0.6672,0.00024494897427829084,,,,,,,,,program_synthesis/baseline_results_core_xgboost.csv,
codeboost_semantic,protected.gpt-5.2,chat_completions,2024-12-01-preview,medium,semantic,256,256,2000,256,1,5,0.71640625,0.709375,0.7173,0.010177180356071139,0.7020,0.7300,6,,,,0.4465475,true,program_synthesis/boosted/runs/matched_codeboost_t1_b256_s5/fn_o_semantic,existing matched 5.2 row
codeboost_semantic,gpt-5.4,responses,2025-03-01-preview,medium,semantic,256,256,2000,256,1,5,0.7140625,0.69375,0.6995,0.010835128056465202,0.6810,0.7150,5,140835,37566,35250,,false,program_synthesis/boosted/runs/model_compare_cdc_semantic_t1_b256_s5/gpt_5_4_medium_final,new Azure Responses run; pricing not encoded
codeboost_semantic,gpt-5.4-mini,responses,2025-03-01-preview,medium,semantic,256,256,2000,256,1,5,0.709375,0.678125,0.6865,0.021279097725232593,0.6530,0.7080,10,253503,59279,56950,,false,program_synthesis/boosted/runs/model_compare_cdc_semantic_t1_b256_s5/gpt_5_4_mini_medium_final,new Azure Responses run; weak direct row but useful candidate-generator datum
codeboost_semantic,gpt-5.4-nano,responses,2025-03-01-preview,medium,semantic,256,256,2000,256,1,5,0.7125,0.68671875,0.7067,0.004057092555020177,0.7000,0.7125,5,140835,8204,5244,,false,program_synthesis/boosted/runs/model_compare_cdc_semantic_t1_b256_s5/gpt_5_4_nano_medium_final,new Azure Responses run; best 5.4-family direct row so far
