model,mode,seed,function,test_acc,val_acc,train_acc,attempt
qwen3.5-9b,normal,42,fn_o,0.5073,0.76,,1
qwen3.5-9b,normal,42,fn_n,0.5017,0.57,,3
qwen3.5-9b,normal,123,fn_o,0.5095,0.54,,3
qwen3.5-9b,normal,123,fn_n,0.4966,0.58,,5
qwen3.5-9b,normal,456,fn_o,0.5758,0.71,,2
qwen3.5-9b,normal,456,fn_n,0.4902,0.53,,3
qwen3.5-9b,normal,789,fn_o,0.5016,0.57,,2
qwen3.5-9b,normal,789,fn_n,0.5095,0.52,,1
qwen3.5-9b,normal,2201,fn_o,0.5191,0.52,,4
qwen3.5-9b,normal,2201,fn_n,0.5229,0.6,,5
qwen3.5-9b,batched,42,fn_o,0.5541,0.87,0.75,7
qwen3.5-9b,batched,42,fn_n,0.5214,0.67,0.5625,17
qwen3.5-9b,batched,123,fn_o,0.5022,0.53,0.5666666666666667,14
qwen3.5-9b,batched,123,fn_n,0.5272,0.62,0.65,22
qwen3.5-9b,batched,456,fn_o,0.5309,0.74,0.81,22
qwen3.5-9b,batched,456,fn_n,0.6015,0.67,0.625,7
qwen3.5-9b,batched,789,fn_o,0.5126,0.83,0.8666666666666667,15
qwen3.5-9b,batched,789,fn_n,0.5531,0.67,0.7,7
qwen3.5-9b,batched,2201,fn_o,0.5939,0.66,0.55,5
qwen3.5-9b,batched,2201,fn_n,0.6155,0.74,0.85,15
qwen3-coder-30b,normal,42,fn_o,0.5919,0.72,,3
qwen3-coder-30b,normal,42,fn_n,0.5517,0.62,,3
qwen3-coder-30b,normal,123,fn_o,0.5374,0.53,,4
qwen3-coder-30b,normal,123,fn_n,0.5251,0.77,,4
qwen3-coder-30b,normal,456,fn_o,0.6372,0.6,,5
qwen3-coder-30b,normal,456,fn_n,0.5724,0.55,,4
qwen3-coder-30b,normal,789,fn_o,0.5529,0.73,,4
qwen3-coder-30b,normal,789,fn_n,0.5233,0.52,,1
qwen3-coder-30b,normal,2201,fn_o,0.5,0.5,,2
qwen3-coder-30b,normal,2201,fn_n,0.5012,0.59,,3
qwen3-coder-30b,batched,42,fn_o,0.5957,0.75,0.5,3
qwen3-coder-30b,batched,42,fn_n,0.5296,0.56,0.55,10
qwen3-coder-30b,batched,123,fn_o,0.5174,0.52,0.5833333333333334,11
qwen3-coder-30b,batched,123,fn_n,0.5153,0.67,0.55,2
qwen3-coder-30b,batched,456,fn_o,,,,
qwen3-coder-30b,batched,456,fn_n,0.5333,0.62,0.6625,18
qwen3-coder-30b,batched,789,fn_o,0.5735,0.65,0.65,3
qwen3-coder-30b,batched,789,fn_n,0.5054,0.51,0.625,7
qwen3-coder-30b,batched,2201,fn_o,0.504,0.5,0.4,5
qwen3-coder-30b,batched,2201,fn_n,0.5222,0.61,0.6666666666666666,11
